psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-document-runtime.sql:5: NOTICE:  PASS: server-owned financial calculation exists
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-readiness-runtime.sql:100: NOTICE:  PASS: missing historical currency never inferred
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-readiness-runtime.sql:100: NOTICE:  PASS: readiness reports tax drift after enrollment
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-readiness-runtime.sql:100: NOTICE:  PASS: tax drift after enrollment requires new owner review
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-readiness-runtime.sql:100: NOTICE:  PASS: ownership change invalidates former owner policy
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-readiness-runtime.sql:100: NOTICE:  PASS: owner enrollment never substitutes for current financial consent
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-readiness-runtime.sql:100: NOTICE:  PASS: revocation stops future financial preparation
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-readiness-runtime.sql:100: NOTICE:  PASS: policy revocation cannot release an existing draft
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-readiness-runtime.sql:100: NOTICE:  PASS: policy revocation invalidates already-prepared approvals
psql:/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/tests/sql/financial-readiness-runtime.sql:100: NOTICE:  PASS: revoked approval allocates no financial document or number
/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/docs/artifacts/phase16/concurrency-contender.log:NOTICE:  PASS: concurrent owner enrollment fails closed while winner holds company lock
/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/docs/artifacts/phase16/concurrency-readback.log:NOTICE:  PASS: exact owner request reconciles to winning receipt
/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/docs/artifacts/phase16/concurrency-readback.log:NOTICE:  PASS: competing policy preview cannot supersede unseen winner
/Users/jacksonsweet/Projects/OPS/.worktrees/ops-mcp-financial-readiness-web-p16/docs/artifacts/phase16/concurrency-readback.log:NOTICE:  PASS: concurrent enrollment creates exactly one policy and notification
